SITE;ZONE;REF;LINHA;LAST USER MODIFIED STATUS;:ABL STATUS DESCRIPTION;ABL %;:SFLEX;:FLEXSTAT;:NUMA1;:PCLINUM;Fluxograma;:DESIGN;:PDATDRWG;:HOLD;:NOTE1;:NOTE2;:NOTE3;:NOTE4;:NOTE5;:NOTE6;:NOTE7;REV ATUAL;:DESIGNED
/025-076_PIPE_BROWN_2B;/025-076_LBW;=201343476/26233;/3132-LBW-0173-T-2-15H20;rudnei.paim;P0 - Created Pipe (empty);5;--;--;BLP-2121-120-M-ISO-8445;3132.T.ISO.1605;3132.P.FLX.0001_16/29;GES;XX/XX/03;unset;unset;unset;unset;unset;unset;unset;;0;
/025-076_PIPE_BROWN_2B;/025-076_LBW;=201359860/4725;/3132-LBW-0174-T-10-15H20;arnaldo.junior;P5 - Concluded pipe;100;S223B;F4;BLP-2121-120-M-ISO-6512;3132.T.ISO.1052;3131.P.FLX.0001_16/29;ALJ;22/10/20;unset;unset;unset;unset;unset;unset;unset;;0;
/025-076_PIPE_BROWN_2B;/025-076_LBW;=201343476/10391;/3132-LBW-0175-T-2-15H20;arnaldo.junior;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-7878;3132.T.ISO.1347;3132.P.FLX.0001_17/29;APL;10/08/20;unset;unset;unset;unset;unset;unset;unset;;1;
/025-076_PIPE_BROWN_2B;/025-076_LBW;=201351668/6065;/3132-LBW-0176-T-2-15H20;aplus.cornetet;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-7880;3132.T.ISO.1349;3132.P.FLX.0001_14/29;APL;31/08/20;unset;unset;unset;unset;unset;unset;unset;;0;
/025-076_PIPE_BROWN_2B;/025-076_LBW;=201351668/1063;/3132-LBW-0177-T-3-15H20;aplus.cornetet;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-7881;3132.T.ISO.1350;3132.P.FLX.0001_18/29 ;APL;24/08/20;unset;unset;unset;unset;unset;unset;unset;;0;
/025-076_PIPE_BROWN_2B;/025-076_LBW;=201343476/24082;/3132-LBW-0180-T-8-15H20-C;aplus.cornetet;P5 - Concluded pipe;100;S162B;F4;BLP-2121-120-M-ISO-8016;3132.T.ISO.1477;3132.P.FLX.0001_23/29 ;APL;31/08/20;unset;unset;unset;unset;unset;unset;unset;;0;
/025-076_PIPE_BROWN_2B;/025-076_LBW;=201343476/13424;/3132-LBW-0180-T-8-15H20-W;arnaldo.junior;P5 - Concluded pipe;100;S249B;F4;BLP-2121-120-M-ISO-7882;3132.T.ISO.1351;3132.P.FLX.0001_23/29;APL;10/08/20;unset;unset;unset;unset;unset;unset;unset;;1;
/025-076_PIPE_BROWN_2B;/025-076_LBW;=201376244/2554;/3132-LBW-0182-T-1-30H25;gabriel.santo;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-8446;3132.T.ISO.1606;3132.P.FLX.0001_9/29 ;GES;19/11/20;unset;unset;unset;unset;unset;unset;DADOS DE PROCESSO;COM PENDENCIAS OUTROS;0;
/025-076_PIPE_BROWN_2B;/025-076_LBW;=201343476/26237;/3132-LBW-0183-T-2-15H20;arnaldo.junior;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-7883;3132.T.ISO.1352;3132.P.FLX.0001_19/29;APL;10/08/20;unset;unset;unset;unset;unset;unset;unset;;1;
/025-076_PIPE_BROWN_2B;/025-076_LBW;=201343476/23085;/3132-LBW-0184-T-4-15H20;aplus.cornetet;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-7884;3132.T.ISO.1353;3132.P.FLX.0001_17/29;APL;10/08/20;unset;unset;unset;unset;unset;unset;unset;;2;
/025-076_PIPE_BROWN_2B;/025-076_LBW;=201343476/23152;/3132-LBW-0186-T-8-15H20;arnaldo.junior;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-7886;3132.T.ISO.1355;3132.P.FLX.0001_17/29;APL;10/08/20;unset;unset;unset;unset;unset;unset;unset;;0;
/025-076_PIPE_BROWN_2B;/025-076_LBW;=201343476/23123;/3132-LBW-0187-T-2-15H20;arnaldo.junior;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-7887;3132.T.ISO.1356;3132.P.FLX.0001_17/29;APL;10/08/20;unset;unset;unset;unset;unset;unset;unset;;0;
/025-076_PIPE_BROWN_2B;/025-076_LBW;=201343476/22495;/3132-LBW-0188-T-3-15H20;arnaldo.junior;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-7888;3132.T.ISO.1357;3132.P.FLX.0001_17/29;APL;12/08/20;unset;unset;unset;unset;unset;unset;unset;;0;
/025-076_PIPE_BROWN_2B;/025-076_LBW;=201343476/22451;/3132-LBW-0189-T-3-15H20;aplus.cornetet;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-7889;3132.T.ISO.1358;3132.P.FLX.0001_17/29;APL;24/08/20;unset;unset;unset;unset;unset;unset;unset;;0;
/025-076_PIPE_BROWN_2B;/025-076_LBW;=201343476/22538;/3132-LBW-0190-T-2-15H20;aplus.cornetet;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-7890;3132.T.ISO.1359;3132.P.FLX.0001_17/29;APL;24/08/20;REVISADO DE ACORDO COMENTÁRIOS DE REVIEW ;unset;unset;unset;unset;unset;unset;;1;
/025-076_PIPE_BROWN_2B;/025-076_LBW;=201343476/22401;/3132-LBW-0191-T-3-15H20;aplus.cornetet;P5 - Concluded pipe;100;--;--;BLP-2121-120-M-ISO-7891;3132.T.ISO.1360;3132.P.FLX.0001_17/29 ;APL;15/10/20;unset;unset;unset;unset;unset;unset;unset;;1;
/025-076_PIPE_BROWN_2B;/025-076_LBW;=201368052/1667;/3132-LBW-0192-T-16-15H20;arnaldo.junior;P5 - Concluded pipe;100;S216B;F4;BLP-2121-120-M-ISO-6472;3132.T.ISO.1012;3132.P.FLX.0001_14/29;ALJ;01/09/20;unset;unset;unset;unset;unset;unset;unset;;0;
/025-076_PIPE_BROWN_2B;/025-076_LBW;=201343476/26239;/3132-LBW-0193-T-14-15H20;aplus.cornetet;P5 - Concluded pipe;100;S278B;F4;BLP-2121-120-M-ISO-8015;3132.T.ISO.1476;3132.P.FLX.0001_14/29;APL;18/09/20;unset;unset;unset;unset;unset;unset;unset;;1;
/025-076_PIPE_BROWN_2B;/025-076_LBW;=201343476/26240;/3132-LBW-0194-T-10-15H20;aplus.cornetet;P5 - Concluded pipe;100;S215B;F4;BLP-2121-120-M-ISO-8017;3132.T.ISO.1478;3132.P.FLX.0001_14/29;APL;18/09/20;unset;unset;unset;unset;unset;unset;unset;;0;
/025-076_PIPE_BROWN_2B;/025-076_LBW;=201343476/23671;/3132-LBW-0195-T-6-15H20;arnaldo.junior;P5 - Concluded pipe;100;S203B;F4;BLP-2121-120-M-ISO-5233;3132.T.ISO.0873;3132.P.FLX.0001_9/29;GES;25/05/20;unset;unset;unset;unset;unset;unset;unset;;0;
/025-076_PIPE_BROWN_2B;/025-076_LBW;=201343476/26241;/3132-LBW-0196-T-6-15H20;arnaldo.junior;P5 - Concluded pipe;100;S203B;F4;BLP-2121-120-M-ISO-5245;3132.T.ISO.0885;3132.P.FLX.0001_10/29;GES;25/05/20;unset;unset;unset;unset;unset;unset;unset;;0;
